Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.59E+12,2020-05-23 0:00,BTCUSD,9165,9259.28,9165,9248.84,34.87843348
1.59E+12,2020-05-22 23:00,BTCUSD,9200.5,9202.81,9133.19,9165,23.08152003
1.59E+12,2020-05-22 22:00,BTCUSD,9211.81,9221.34,9179.49,9200.5,42.37745725
1.59E+12,2020-05-22 21:00,BTCUSD,9182.76,9211.81,9162.58,9211.81,66.90753227
1.59E+12,2020-05-22 20:00,BTCUSD,9175.71,9217.27,9131.64,9182.76,56.75222996
1.59E+12,2020-05-22 19:00,BTCUSD,9199.19,9224.73,9150,9175.71,178.0864348
1.59E+12,2020-05-22 18:00,BTCUSD,9195.67,9228.54,9176.19,9199.19,68.19494936
1.59E+12,2020-05-22 17:00,BTCUSD,9245,9265.1,9176.86,9195.67,116.9114966
1.59E+12,2020-05-22 16:00,BTCUSD,9220.05,9250,9185.51,9245,88.13808292
1.59E+12,2020-05-22 15:00,BTCUSD,9130.04,9221.63,9130.04,9220.05,100.3203237
1.59E+12,2020-05-22 14:00,BTCUSD,9106.43,9169.84,9106.43,9130.04,34.63383571
1.59E+12,2020-05-22 13:00,BTCUSD,9171.02,9173.93,9082.01,9106.43,42.40424688
1.59E+12,2020-05-22 12:00,BTCUSD,9169.14,9195.03,9142.61,9171.02,55.10744585
1.59E+12,2020-05-22 11:00,BTCUSD,9158,9184.07,9127.07,9169.14,16.73571562
1.59E+12,2020-05-22 10:00,BTCUSD,9099.94,9185.18,9099.94,9158,82.20893168
1.59E+12,2020-05-22 9:00,BTCUSD,9076.53,9106.12,9047.39,9099.94,32.95902564
1.59E+12,2020-05-22 8:00,BTCUSD,9073.15,9106.89,9036.88,9076.53,8.4494613
1.59E+12,2020-05-22 7:00,BTCUSD,9079.25,9115,9053.51,9073.15,53.67284836
1.59E+12,2020-05-22 6:00,BTCUSD,9035.42,9093.87,9024.57,9079.25,25.4187838
1.59E+12,2020-05-22 5:00,BTCUSD,8981.93,9066.36,8958.3,9035.42,38.11165403
1.59E+12,2020-05-22 4:00,BTCUSD,8980.03,9026.53,8927.52,8981.93,17.20658657
1.59E+12,2020-05-22 3:00,BTCUSD,9034.23,9064.39,8958.3,8980.03,24.44355529
1.59E+12,2020-05-22 2:00,BTCUSD,9087.38,9119.29,9034.23,9034.23,37.657242
1.59E+12,2020-05-22 1:00,BTCUSD,9020.14,9123.21,9020.14,9087.38,52.74461666
1.59E+12,2020-05-22 0:00,BTCUSD,9057.09,9064.29,8964.01,9020.14,84.03688423
1.59E+12,2020-05-21 23:00,BTCUSD,9114.12,9123.96,9030.18,9057.09,42.49513344
1.59E+12,2020-05-21 22:00,BTCUSD,9099.06,9153.25,9099.06,9114.12,57.56381748
1.59E+12,2020-05-21 21:00,BTCUSD,9060,9146.33,9046.91,9099.06,51.79020507
1.59E+12,2020-05-21 20:00,BTCUSD,9053.03,9080.85,9010.02,9060,79.65408617
1.59E+12,2020-05-21 19:00,BTCUSD,8830.42,9094.3,8802.37,9053.03,342.9792539
1.59E+12,2020-05-21 18:00,BTCUSD,8990.61,8991.76,8802,8830.42,337.8420435
1.59E+12,2020-05-21 17:00,BTCUSD,9065.45,9090.7,8971,8990.61,147.4598798
1.59E+12,2020-05-21 16:00,BTCUSD,9071.88,9119.04,9035.79,9065.45,171.7762178
